fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
15/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,22.00,23.00,23.00,,ciruela huesuda amarilla_primera
16/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,22.00,23.00,23.00,,ciruela huesuda amarilla_primera
20/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,22.00,23.00,23.00,,ciruela huesuda amarilla_primera
21/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
22/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
23/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.00,12.00,,ciruela huesuda amarilla_primera
26/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.00,12.00,,ciruela huesuda amarilla_primera
27/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,12.00,13.00,13.00,,ciruela huesuda amarilla_primera
28/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.00,12.00,,ciruela huesuda amarilla_primera
29/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
30/11/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
03/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
04/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
05/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
06/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
07/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,11.00,12.50,12.50,,ciruela huesuda amarilla_primera
10/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,12.50,13.00,13.00,,ciruela huesuda amarilla_primera
11/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
12/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
13/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
14/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
17/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,14.00,15.00,15.00,,ciruela huesuda amarilla_primera
18/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
19/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
20/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
21/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
24/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
26/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
27/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
28/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
31/12/2018,Caja de 10 kg.,Nayarit,Michoacán: Mercado de Abasto de Morelia,15.00,16.00,16.00,,ciruela huesuda amarilla_primera
02/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
03/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
04/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
05/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
08/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
09/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
10/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
11/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
12/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
15/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
16/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
17/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
18/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
19/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
22/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
23/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
24/01/2018,Caja de 10 kg.,Distrito Federal,"Quintana Roo: Mercado de Chetumal, Quintana Roo",20.00,20.00,20.00,,ciruela huesuda amarilla_primera
10/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,9.62,9.62,9.62,,ciruela huesuda amarilla_primera
13/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,9.62,9.62,9.62,,ciruela huesuda amarilla_primera
14/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,9.62,9.62,9.62,,ciruela huesuda amarilla_primera
15/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,12.31,12.31,,ciruela huesuda amarilla_primera
16/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,11.54,11.54,,ciruela huesuda amarilla_primera
17/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.69,12.69,12.69,,ciruela huesuda amarilla_primera
20/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.69,13.85,13.85,,ciruela huesuda amarilla_primera
21/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.69,13.85,13.85,,ciruela huesuda amarilla_primera
22/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.31,,ciruela huesuda amarilla_primera
23/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.69,,ciruela huesuda amarilla_primera
24/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.31,,ciruela huesuda amarilla_primera
27/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.31,,ciruela huesuda amarilla_primera
28/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.31,,ciruela huesuda amarilla_primera
29/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.69,,ciruela huesuda amarilla_primera
30/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,13.85,12.69,,ciruela huesuda amarilla_primera
31/08/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,12.69,12.31,,ciruela huesuda amarilla_primera
03/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.31,12.69,12.31,,ciruela huesuda amarilla_primera
04/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.31,11.54,,ciruela huesuda amarilla_primera
05/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,12.69,,ciruela huesuda amarilla_primera
06/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,12.69,,ciruela huesuda amarilla_primera
07/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,12.69,,ciruela huesuda amarilla_primera
10/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,12.69,,ciruela huesuda amarilla_primera
11/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,12.69,,ciruela huesuda amarilla_primera
12/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,11.92,,ciruela huesuda amarilla_primera
13/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,11.92,,ciruela huesuda amarilla_primera
14/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,11.92,,ciruela huesuda amarilla_primera
17/09/2018,Caja de 26 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.54,12.69,11.92,,ciruela huesuda amarilla_primera
27/09/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
28/09/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.40,10.40,10.40,,ciruela huesuda amarilla_primera
01/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.40,10.40,10.40,,ciruela huesuda amarilla_primera
02/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,10.40,10.40,10.40,,ciruela huesuda amarilla_primera
03/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
04/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
05/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,11.60,11.60,,ciruela huesuda amarilla_primera
08/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,11.60,11.60,,ciruela huesuda amarilla_primera
09/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,12.00,,ciruela huesuda amarilla_primera
10/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,12.00,,ciruela huesuda amarilla_primera
11/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,12.00,,ciruela huesuda amarilla_primera
12/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,12.00,,ciruela huesuda amarilla_primera
15/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,11.60,,ciruela huesuda amarilla_primera
16/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,11.60,,ciruela huesuda amarilla_primera
17/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,11.60,,ciruela huesuda amarilla_primera
18/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.00,11.60,,ciruela huesuda amarilla_primera
19/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.80,12.80,,ciruela huesuda amarilla_primera
22/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.80,12.80,,ciruela huesuda amarilla_primera
23/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
24/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
25/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
26/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
29/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.40,12.40,12.40,,ciruela huesuda amarilla_primera
30/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.40,12.40,12.40,,ciruela huesuda amarilla_primera
31/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.40,11.60,,ciruela huesuda amarilla_primera
01/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.60,12.40,12.00,,ciruela huesuda amarilla_primera
05/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
06/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
07/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
08/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
09/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
12/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
13/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,12.00,12.80,12.80,,ciruela huesuda amarilla_primera
14/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
15/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
16/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
20/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
21/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
22/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Central de Abasto de Mérida,11.20,12.80,11.20,,ciruela huesuda amarilla_primera
10/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
11/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
12/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
15/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
16/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
17/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
18/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
19/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
22/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
23/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
24/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
25/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
26/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
29/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
30/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
31/10/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
01/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
05/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,13.20,13.20,13.20,,ciruela huesuda amarilla_primera
06/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
07/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
08/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
09/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
12/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
13/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
14/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
15/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
16/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
20/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
21/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
22/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
23/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
26/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
27/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
28/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
29/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
30/11/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
03/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
04/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
05/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
06/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
07/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.80,12.80,12.80,,ciruela huesuda amarilla_primera
10/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
11/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,12.00,12.00,12.00,,ciruela huesuda amarilla_primera
12/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
13/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
14/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,11.20,11.20,11.20,,ciruela huesuda amarilla_primera
17/12/2018,Caja de 25 kg.,Distrito Federal,Yucatán: Centro Mayorista Oxkutzcab,11.60,11.60,11.60,,ciruela huesuda amarilla_primera
24/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
25/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
26/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
29/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
30/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
31/10/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
01/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
05/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
06/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
07/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
08/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
09/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
12/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
13/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
14/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
15/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
16/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
20/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
21/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
22/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
23/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
26/11/2018,Kilogramo,Distrito Federal,"Yucatán: Mercado ""Casa del Pueblo""",25.00,25.00,25.00,,ciruela huesuda amarilla_primera
